Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
24,Nicholas Gioacchini,11,us USA,FW,23-026,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Celio Pompeu,12,br BRA,LM,23-253,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Aziel Jackson,25,fr FRA,"FW,RM",21-300,86,4,2,2,1,1,2,2,100,0,0,0,0,1,5,0,0
24,Tomas Ostrak,7,cz CZE,RM,23-196,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Jared Stroud,8,us USA,LM,27-041,80,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
24,Nokkvi Thorisson,29,is ISL,FW,24-007,10,1,0,0,1,0,0,0,0,0,2,0,2,0,1,0,0
24,Eduard Lowen,10,de GER,CM,26-204,90,2,1,2,0,0,1,1,100,0,2,2,0,1,3,0,0
24,Njabulo Blom,6,za RSA,CM,23-252,64,1,0,1,0,0,0,2,0,2,1,0,1,0,1,0,0
24,Indiana Vassilev,19,us USA,CM,22-185,26,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0
24,Rasmus Alm,21,se SWE,RM,28-003,64,0,0,0,0,0,0,3,0,3,2,0,2,0,0,0,0
24,Samuel Adeniran,16,us USA,"FW,RM",24-324,26,1,0,0,1,0,1,1,100,0,0,0,0,1,2,1,0
24,Kyle Hiebert,22,ca CAN,LB,26-021,90,1,1,1,0,0,0,0,0,0,3,2,1,0,1,3,0
24,Tim Parker,26,us USA,CB,30-178,90,0,0,0,0,0,0,0,0,0,1,0,1,2,2,4,0
24,Joshua Yaro,15,gh GHA,CB,28-275,90,1,1,0,0,1,1,1,100,0,0,0,0,1,2,4,0
24,Akil Watts,20,us USA,RB,23-197,86,3,1,2,1,0,2,3,66.7,1,0,0,0,1,4,7,0
24,Joakim Nilsson,4,se SWE,RB,29-195,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
24,Roman Burki,1,ch SUI,GK,32-279,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
