Match ID,Player,#,Nation,Pos,Age,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Cha,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
30,Samuel Adeniran,16,us USA,FW,24-355,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Nokkvi Thorisson,29,is ISL,FW,24-038,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Klauss,9,br BRA,FW,26-203,90,1,1,1,0,0,1,2,50,1,0,0,0,0,1,1,0
30,Aziel Jackson,25,fr FRA,AM,21-331,58,2,1,1,1,0,0,2,0,2,0,0,0,0,2,0,0
30,Nicholas Gioacchini,11,us USA,AM,23-057,32,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0
30,Eduard Lowen,10,de GER,LM,26-235,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Njabulo Blom,6,za RSA,CM,23-283,57,3,2,2,1,0,1,1,100,0,1,0,1,0,3,2,0
30,Jake Nerwinski,2,us USA,RB,28-338,33,1,1,1,0,0,1,2,50,1,0,0,0,0,1,0,0
30,Indiana Vassilev,19,us USA,RM,22-216,87,4,3,1,2,1,3,6,50,3,1,0,1,0,4,0,0
30,Tomas Ostrak,7,cz CZE,RM,23-227,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Anthony Markanich,13,us USA,LB,23-268,90,1,1,0,0,1,1,2,50,1,2,1,1,1,2,1,0
30,Joakim Nilsson,4,se SWE,CB,29-226,90,2,1,2,0,0,2,2,100,0,4,1,3,3,5,5,0
30,Tim Parker,26,us USA,CB,30-209,90,2,2,2,0,0,0,0,0,0,0,0,0,3,5,5,0
30,Akil Watts,20,us USA,"RB,CM",23-228,77,6,3,3,3,0,1,6,16.7,5,0,0,0,0,6,2,0
30,Jared Stroud,8,us USA,CM,27-072,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Roman Burki,1,ch SUI,GK,32-310,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
